	Date	Open*	High	Low	Close**	Volume	Market Cap
355	2017-04-11	1187.46	1208.07	1187.46	1205.01	216182000	19316000768
354	2017-04-12	1204.81	1207.14	1196.76	1200.37	288702016	19600799744
353	2017-04-13	1201.02	1205.89	1156.44	1169.28	351968992	19541299200
352	2017-04-14	1170.33	1190.8	1159.79	1167.54	254827008	19043799040
351	2017-04-15	1167.3	1188.0	1164.96	1172.52	203559008	18996500480
350	2017-04-16	1172.61	1187.22	1172.61	1182.94	183231008	19085099008
349	2017-04-17	1183.25	1194.9	1172.65	1193.91	253206000	19260499968
348	2017-04-18	1193.77	1217.57	1193.77	1211.67	270524000	19433799680
347	2017-04-19	1212.13	1215.51	1205.08	1210.29	288060992	19734800384
346	2017-04-20	1211.08	1240.79	1208.41	1229.08	315108000	19719899136
345	2017-04-21	1229.42	1235.94	1215.56	1222.05	272167008	20020699136
344	2017-04-22	1222.71	1235.56	1208.47	1231.71	249320000	19913900032
343	2017-04-23	1231.92	1232.2	1203.94	1207.21	258951008	20066199552
342	2017-04-24	1209.63	1250.94	1209.63	1250.15	235806000	19705399296
341	2017-04-25	1250.45	1267.58	1249.97	1265.49	242556000	20372299776
340	2017-04-26	1265.99	1294.83	1265.93	1281.08	329631008	20627900416
339	2017-04-27	1281.88	1319.7	1281.3	1317.73	449196992	20889200640
338	2017-04-28	1317.74	1331.28	1292.37	1316.48	527488992	21475999744
337	2017-04-29	1317.84	1327.2	1315.21	1321.79	422705984	21479800832
336	2017-04-30	1321.87	1347.91	1314.92	1347.89	413115008	21548400640
335	2017-05-01	1348.3	1434.32	1348.3	1421.6	713624000	21981800448
334	2017-05-02	1421.03	1473.9	1415.69	1452.82	477337984	23170199552
333	2017-05-03	1453.78	1492.77	1447.49	1490.09	583795968	23707099136
332	2017-05-04	1490.72	1608.91	1490.72	1537.67	933548992	24311900160
331	2017-05-05	1540.87	1618.03	1530.31	1555.45	946035968	25133099008
330	2017-05-06	1556.81	1578.8	1542.5	1578.8	582529984	25395599360
329	2017-05-07	1579.47	1596.72	1559.76	1596.71	1080029952	25768499200
328	2017-05-08	1596.92	1723.35	1596.92	1723.35	1340320000	26056499200
327	2017-05-09	1723.89	1833.49	1716.3	1755.36	1167920000	28132200448
326	2017-05-10	1756.52	1788.44	1719.1	1787.13	915723008	28668100608
325	2017-05-11	1780.37	1873.93	1755.35	1848.57	799489984	29060599808
324	2017-05-12	1845.76	1856.15	1694.01	1724.24	740984000	30131099648
323	2017-05-13	1723.12	1812.99	1651.08	1804.91	579635008	28132300800
322	2017-05-14	1800.86	1831.42	1776.62	1808.91	437196000	29405100032
321	2017-05-15	1808.44	1812.8	1708.54	1738.43	731529024	29532600320
320	2017-05-16	1741.7	1785.94	1686.54	1734.45	959044992	28446300160
319	2017-05-17	1726.73	1864.05	1661.91	1839.09	1064729984	28204800000
318	2017-05-18	1818.7	1904.48	1807.12	1888.65	894321024	29710499840
317	2017-05-19	1897.37	2004.52	1890.25	1987.71	1157289984	30998999040
316	2017-05-20	1984.24	2084.73	1974.92	2084.73	961336000	32422400000
315	2017-05-21	2067.03	2119.08	2037.5	2041.2	1147859968	33779400704
314	2017-05-22	2043.19	2303.9	2017.87	2173.4	1942220032	33393600512
313	2017-05-23	2191.56	2320.82	2178.5	2320.42	1378749952	35822600192
312	2017-05-24	2321.37	2523.72	2321.37	2443.64	1725379968	37949198336
311	2017-05-25	2446.24	2763.71	2285.3	2304.98	2406700032	39995400192
310	2017-05-26	2320.89	2573.79	2071.99	2202.42	1763480064	37950599168
309	2017-05-27	2196.27	2260.2	1855.83	2038.87	1700480000	35917099008
308	2017-05-28	2054.08	2267.34	2054.08	2155.8	1147139968	33595899904
307	2017-05-29	2159.43	2307.05	2107.17	2255.61	994625024	35323498496
306	2017-05-30	2255.36	2301.96	2124.57	2175.47	1443970048	36897001472
305	2017-05-31	2187.19	2311.08	2145.57	2286.41	1544829952	35786698752
304	2017-06-01	2288.33	2448.39	2288.33	2407.88	1653180032	37446201344
303	2017-06-02	2404.03	2488.55	2373.32	2488.55	1317030016	39344599040
302	2017-06-03	2493.72	2581.91	2423.57	2515.35	1514950016	40817098752
301	2017-06-04	2547.79	2585.89	2452.54	2511.81	1355120000	41708199936
300	2017-06-05	2512.4	2686.81	2510.22	2686.81	1369309952	41133899776
299	2017-06-06	2690.84	2999.91	2690.84	2863.2	2089609984	44060999680
298	2017-06-07	2869.38	2869.38	2700.56	2732.16	1517709952	46989799424
297	2017-06-08	2720.49	2815.3	2670.95	2805.62	1281170048	44557099008
296	2017-06-09	2807.44	2901.71	2795.62	2823.81	1348950016	45987098624
295	2017-06-10	2828.14	2950.99	2746.55	2947.71	2018889984	46331400192
294	2017-06-11	2942.41	2996.6	2840.53	2958.11	1752400000	48208699392
293	2017-06-12	2953.22	2997.26	2518.56	2659.63	2569530112	48391200768
292	2017-06-13	2680.91	2789.04	2650.38	2717.02	1781200000	43934101504
291	2017-06-14	2716.88	2786.83	2412.94	2506.37	1696560000	44528300032
290	2017-06-15	2499.58	2534.71	2212.96	2464.58	2026259968	40971300864
289	2017-06-16	2469.57	2539.92	2385.15	2518.56	1195190016	40484098048
288	2017-06-17	2514.01	2685.19	2484.96	2655.88	1534509952	41217200128
287	2017-06-18	2655.35	2662.1	2516.33	2548.29	1178659968	43539300352
286	2017-06-19	2549.03	2662.85	2549.03	2589.6	1446840064	41800601600
285	2017-06-20	2591.26	2763.45	2589.82	2721.79	1854189952	42497998848
284	2017-06-21	2709.43	2772.01	2660.4	2689.1	1626579968	44440801280
283	2017-06-22	2691.03	2723.74	2642.36	2705.41	1097939968	44143661056
282	2017-06-23	2707.34	2765.17	2706.37	2744.91	961318976	44415922176
281	2017-06-24	2738.52	2757.94	2583.19	2608.72	982750016	44932898816
280	2017-06-25	2607.25	2682.26	2552.12	2589.41	1161100032	42783760384
279	2017-06-26	2590.57	2615.25	2376.29	2478.45	1663280000	42513989632
278	2017-06-27	2478.45	2552.45	2332.99	2552.45	1489789952	40677937152
277	2017-06-28	2553.03	2603.98	2484.42	2574.79	1183869952	41906651136
276	2017-06-29	2567.56	2588.83	2510.48	2539.32	949979008	42150330368
275	2017-06-30	2539.24	2559.25	2478.43	2480.84	860273024	41689124864
274	2017-07-01	2492.6	2515.27	2419.23	2434.55	779913984	40928153600
273	2017-07-02	2436.4	2514.28	2394.84	2506.47	803747008	40010469376
272	2017-07-03	2498.56	2595.0	2480.47	2564.06	964112000	41037160448
271	2017-07-04	2561.0	2631.59	2559.35	2601.64	985516032	42067939328
270	2017-07-05	2602.87	2622.65	2538.55	2601.99	941566016	42760830976
269	2017-07-06	2608.1	2616.72	2581.69	2608.56	761956992	42851422208
268	2017-07-07	2608.59	2916.14	2498.87	2518.66	917411968	42864218112
267	2017-07-08	2520.27	2571.34	2492.31	2571.34	733329984	41417732096
266	2017-07-09	2572.61	2635.49	2517.59	2518.44	527856000	42283167744
265	2017-07-10	2525.25	2537.16	2321.13	2372.56	1111200000	41509044224
264	2017-07-11	2385.89	2413.47	2296.81	2337.79	1329760000	39224180736
263	2017-07-12	2332.77	2423.71	2275.14	2398.84	1117410048	38355918848
262	2017-07-13	2402.7	2425.22	2340.83	2357.9	835769984	39511040000
261	2017-07-14	2360.59	2363.25	2183.22	2233.34	882502976	38823104512
260	2017-07-15	2230.12	2231.14	1990.41	1998.86	993608000	36681289728
259	2017-07-16	1991.98	2058.77	1843.03	1929.82	1182870016	32767571968
258	2017-07-17	1932.62	2230.49	1932.62	2228.41	1201760000	31795019776
257	2017-07-18	2233.52	2387.61	2164.77	2318.88	1512450048	36749443072
256	2017-07-19	2323.08	2397.17	2260.23	2273.43	1245100032	38227845120
255	2017-07-20	2269.89	2900.7	2269.89	2817.6	2249260032	37356806144
254	2017-07-21	2838.41	2838.41	2621.85	2667.76	1489449984	46718996480
253	2017-07-22	2668.63	2862.42	2657.71	2810.12	1177129984	43929632768
252	2017-07-23	2808.1	2832.18	2653.94	2730.4	1072840000	46231142400
251	2017-07-24	2732.7	2777.26	2699.19	2754.86	866473984	44995604480
250	2017-07-25	2757.5	2768.08	2480.96	2576.48	1460089984	45410078720
249	2017-07-26	2577.77	2610.76	2450.8	2529.45	937404032	42455015424
248	2017-07-27	2538.71	2693.32	2529.34	2671.78	789104000	41816489984
247	2017-07-28	2679.73	2897.45	2679.73	2809.01	1380099968	44144447488
246	2017-07-29	2807.02	2808.76	2692.8	2726.45	803745984	46246670336
245	2017-07-30	2724.39	2758.53	2644.85	2757.18	705942976	44890664960
244	2017-07-31	2763.24	2889.62	2720.61	2875.34	860574976	45535846400
243	2017-08-01	2871.3	2921.35	2685.61	2718.26	1324669952	47321755648
242	2017-08-02	2727.13	2762.53	2668.59	2710.67	1094950016	44950835200
241	2017-08-03	2709.56	2813.31	2685.14	2804.73	804796992	44666400768
240	2017-08-04	2806.93	2899.33	2743.72	2895.89	1002120000	46276210688
239	2017-08-05	2897.63	3290.01	2874.83	3252.91	1945699968	47778197504
238	2017-08-06	3257.61	3293.29	3155.6	3213.94	1105030016	53720891392
237	2017-08-07	3212.78	3397.68	3180.89	3378.94	1482279936	52987310080
236	2017-08-08	3370.22	3484.85	3345.83	3419.94	1752760064	55590281216
235	2017-08-09	3420.4	3422.76	3247.67	3342.47	1468960000	56424906752
234	2017-08-10	3341.84	3453.45	3319.47	3381.28	1515110016	55134724096
233	2017-08-11	3373.82	3679.72	3372.12	3650.62	2021190016	55667986432
232	2017-08-12	3650.63	3949.92	3613.7	3884.71	2219589888	60242059264
231	2017-08-13	3880.04	4208.39	3857.8	4073.26	3159089920	64034107392
230	2017-08-14	4066.1	4325.13	3989.16	4325.13	2463089920	67112329216
229	2017-08-15	4326.99	4455.97	3906.18	4181.93	3258050048	71425482752
228	2017-08-16	4200.34	4381.23	3994.42	4376.63	2272039936	69342707712
227	2017-08-17	4384.44	4484.7	4243.71	4331.69	2553359872	72389124096
226	2017-08-18	4324.34	4370.13	4015.4	4160.62	2941710080	71406542848
225	2017-08-19	4137.75	4243.26	3970.55	4193.7	2975820032	68333101056
224	2017-08-20	4189.31	4196.29	4069.88	4087.66	2109769984	69192663040
223	2017-08-21	4090.48	4109.14	3988.6	4001.74	2800890112	67567071232
222	2017-08-22	3998.35	4128.76	3674.58	4100.52	3764239872	66051018752
221	2017-08-23	4089.01	4255.78	4078.41	4151.52	2369819904	67553030144
220	2017-08-24	4137.6	4376.39	4130.26	4334.68	2037750016	68363894784
219	2017-08-25	4332.82	4455.7	4307.35	4371.6	1727970048	71595073536
218	2017-08-26	4372.06	4379.28	4269.52	4352.4	1511609984	72249057280
217	2017-08-27	4345.1	4416.59	4317.29	4382.88	1537459968	71809245184
216	2017-08-28	4384.45	4403.93	4224.64	4382.66	1959330048	72467865600
215	2017-08-29	4389.21	4625.68	4352.13	4579.02	2486080000	72553783296
214	2017-08-30	4570.36	4626.52	4471.41	4565.3	1937849984	75556601856
213	2017-08-31	4555.59	4736.05	4549.4	4703.39	1944930048	75322261504
212	2017-09-01	4701.76	4892.01	4678.53	4892.01	2599079936	77748371456
211	2017-09-02	4901.42	4975.04	4469.24	4578.77	2722139904	81060601856
210	2017-09-03	4585.27	4714.08	4417.59	4582.96	1933190016	75841708032
209	2017-09-04	4591.63	4591.63	4108.4	4236.31	2987330048	75955544064
208	2017-09-05	4228.29	4427.84	3998.11	4376.53	2697969920	69954437120
207	2017-09-06	4376.59	4617.25	4376.59	4597.12	2172100096	72418721792
206	2017-09-07	4589.14	4655.04	4491.33	4599.88	1844620032	75944968192
205	2017-09-08	4605.16	4661.0	4075.18	4228.75	2700890112	76220227584
204	2017-09-09	4229.81	4308.82	4114.11	4226.06	1386230016	70017155072
203	2017-09-10	4229.34	4245.44	3951.04	4122.94	1679090048	70018088960
202	2017-09-11	4122.47	4261.67	4099.4	4161.27	1557330048	68256038912
201	2017-09-12	4168.88	4344.65	4085.22	4130.81	1864530048	69033369600
200	2017-09-13	4131.98	4131.98	3789.92	3882.59	2219409920	68432248832
199	2017-09-14	3875.37	3920.6	3153.86	3154.95	2716310016	64191565824
198	2017-09-15	3166.3	3733.45	2946.62	3637.52	4148069888	52453515264
197	2017-09-16	3637.75	3808.84	3487.79	3625.04	1818400000	60271636480
196	2017-09-17	3606.28	3664.81	3445.64	3582.88	1239149952	59757817856
195	2017-09-18	3591.09	4079.23	3591.09	4065.2	1943209984	59514085376
194	2017-09-19	4073.79	4094.07	3868.87	3924.97	1563980032	67520266240
193	2017-09-20	3916.36	4031.39	3857.73	3905.95	1213830016	64918507520
192	2017-09-21	3901.47	3916.42	3613.63	3631.04	1411480064	64677552128
191	2017-09-22	3628.02	3758.27	3553.53	3630.7	1194829952	60152250368
190	2017-09-23	3629.92	3819.21	3594.58	3792.4	928113984	60190023680
189	2017-09-24	3796.15	3796.15	3666.9	3682.84	768014976	62954283008
188	2017-09-25	3681.58	3950.25	3681.58	3926.07	1374210048	61061095424
187	2017-09-26	3928.41	3969.89	3869.9	3892.35	1043740032	65161023488
186	2017-09-27	3892.94	4210.05	3884.82	4200.67	1686880000	64579231744
185	2017-09-28	4197.13	4279.31	4109.7	4174.73	1712320000	69633212416
184	2017-09-29	4171.62	4214.63	4039.29	4163.07	1367049984	69219221504
183	2017-09-30	4166.11	4358.43	4160.86	4338.71	1207449984	69136629760
182	2017-10-01	4341.05	4403.74	4269.81	4403.74	1208210048	72047304704
181	2017-10-02	4395.81	4470.23	4377.46	4409.32	1431730048	72963194880
180	2017-10-03	4408.46	4432.47	4258.89	4317.48	1288019968	73181331456
179	2017-10-04	4319.37	4352.31	4210.42	4229.36	1116770048	71712522240
178	2017-10-05	4229.88	4362.64	4164.05	4328.41	1161769984	70233686016
177	2017-10-06	4324.46	4413.27	4320.53	4370.81	1069939968	71810605056
176	2017-10-07	4369.35	4443.88	4321.05	4426.89	906928000	72565055488
175	2017-10-08	4429.67	4624.14	4405.64	4610.48	1313869952	73575424000
174	2017-10-09	4614.52	4878.71	4564.25	4772.02	1968739968	76656467968
173	2017-10-10	4776.21	4922.17	4765.1	4781.99	1597139968	79351848960
172	2017-10-11	4789.25	4873.73	4751.63	4826.48	1222279936	79578218496
171	2017-10-12	4829.58	5446.91	4822.0	5446.91	2791610112	80256729088
170	2017-10-13	5464.16	5840.3	5436.85	5647.21	3615480064	90812375040
169	2017-10-14	5643.53	5837.7	5591.64	5831.79	1669030016	93803028480
168	2017-10-15	5835.96	5852.48	5478.61	5678.19	1976039936	97011859456
167	2017-10-16	5687.57	5776.23	5544.21	5725.59	2008070016	94558953472
166	2017-10-17	5741.58	5800.35	5472.72	5605.51	1821570048	95469297664
165	2017-10-18	5603.82	5603.82	5151.44	5590.69	2399269888	93190160384
164	2017-10-19	5583.74	5744.35	5531.06	5708.52	1780540032	92866969600
163	2017-10-20	5708.11	6060.11	5627.23	6011.45	2354429952	94947926016
162	2017-10-21	5996.79	6194.88	5965.07	6031.6	2207099904	99763249152
161	2017-10-22	6036.66	6076.26	5792.34	6008.42	2034630016	100437917696
160	2017-10-23	6006.0	6075.59	5732.47	5930.32	2401840128	99941629952
159	2017-10-24	5935.52	5935.52	5504.18	5526.64	2735699968	98781609984
158	2017-10-25	5524.6	5754.33	5397.88	5750.8	1966989952	91954200576
157	2017-10-26	5747.95	5976.8	5721.22	5904.83	1905040000	95685124096
156	2017-10-27	5899.74	5988.39	5728.82	5780.9	1710130048	98225446912
155	2017-10-28	5787.82	5876.72	5689.19	5753.09	1403920000	96369557504
154	2017-10-29	5754.44	6255.71	5724.58	6153.85	2859040000	95819800576
153	2017-10-30	6114.85	6214.99	6040.85	6130.53	1772150016	101833015296
152	2017-10-31	6132.02	6470.43	6103.33	6468.4	2311379968	102130237440
151	2017-11-01	6440.97	6767.31	6377.88	6767.31	2870320128	107286847488
150	2017-11-02	6777.77	7367.33	6758.72	7078.5	4653770240	112909656064
149	2017-11-03	7087.53	7461.29	7002.94	7207.76	3369860096	118083854336
148	2017-11-04	7164.48	7492.86	7031.28	7379.95	2483800064	119376199680
147	2017-11-05	7404.52	7617.48	7333.19	7407.41	2380410112	123388100608
146	2017-11-06	7403.22	7445.77	7007.31	7022.76	3111899904	123379326976
145	2017-11-07	7023.1	7253.32	7023.1	7144.38	2326340096	117056233472
144	2017-11-08	7141.38	7776.42	7114.02	7459.69	4602200064	119041392640
143	2017-11-09	7446.83	7446.83	7101.52	7143.58	3226249984	124146434048
142	2017-11-10	7173.73	7312.0	6436.87	6618.14	5208249856	119607435264
141	2017-11-11	6618.61	6873.15	6204.22	6357.6	4908680192	110361878528
140	2017-11-12	6295.45	6625.05	5519.01	5950.07	8957349888	104979750912
139	2017-11-13	5938.25	6811.19	5844.29	6559.49	6263249920	99029016576
138	2017-11-14	6561.48	6764.98	6461.75	6635.75	3197110016	109433905152
137	2017-11-15	6634.76	7342.25	6634.76	7315.54	4200880128	110666571776
136	2017-11-16	7323.24	7967.38	7176.58	7871.69	5123809792	122164264960
135	2017-11-17	7853.57	8004.59	7561.09	7708.99	4651670016	131026165760
134	2017-11-18	7697.21	7884.99	7463.44	7790.15	3667190016	128424927232
133	2017-11-19	7766.03	8101.91	7694.1	8036.49	3149319936	129594712064
132	2017-11-20	8039.07	8336.86	7949.36	8200.64	3488450048	134167306240
131	2017-11-21	8205.74	8348.66	7762.71	8071.26	4277609984	136966864896
130	2017-11-22	8077.95	8302.26	8075.47	8253.55	3633530112	134851436544
129	2017-11-23	8232.38	8267.4	8038.77	8038.77	4225179904	137444474880
128	2017-11-24	8074.02	8374.16	7940.93	8253.69	5058610176	134816366592
127	2017-11-25	8241.71	8790.92	8191.15	8790.92	4342060032	137631875072
126	2017-11-26	8789.04	9522.93	8775.59	9330.55	5475579904	146789220352
125	2017-11-27	9352.72	9818.35	9352.72	9818.35	5653320192	156221046784
124	2017-11-28	9823.43	10125.7	9736.3	10058.8	6348819968	164104404992
123	2017-11-29	10077.4	11517.4	9601.03	9888.61	11568799744	168366702592
122	2017-11-30	9906.79	10801.0	9202.05	10233.6	8310689792	165537480704
121	2017-12-01	10198.6	11046.7	9694.65	10975.6	6783119872	170435903488
120	2017-12-02	10978.3	11320.2	10905.1	11074.6	5138500096	183489593344
119	2017-12-03	11082.7	11858.7	10862.0	11323.2	6608309760	185258246144
118	2017-12-04	11315.4	11657.2	11081.8	11657.2	6132409856	189172383744
117	2017-12-05	11685.7	12032.0	11604.6	11916.7	6895260160	195389161472
116	2017-12-06	11923.4	14369.1	11923.4	14291.5	12656300032	199390003200
115	2017-12-07	14266.1	17899.7	14057.3	17899.7	17950699520	238599536640
114	2017-12-08	17802.9	18353.4	14336.9	16569.4	21135998976	297786572800
113	2017-12-09	16523.3	16783.0	13674.9	15178.2	13911300096	276415348736
112	2017-12-10	15168.4	15850.6	13226.6	15455.4	13433299968	253781737472
111	2017-12-11	15427.4	17513.9	15404.8	16936.8	12153900032	258146762752
110	2017-12-12	16919.8	17781.8	16571.6	17415.4	14603799552	283154612224
109	2017-12-13	17500.0	17653.1	16039.7	16408.2	12976900096	292900372480
108	2017-12-14	16384.6	17085.8	16185.9	16564.0	13777399808	274268504064
107	2017-12-15	16601.3	18154.1	16601.3	17706.9	14309999616	277935587328
106	2017-12-16	17760.3	19716.7	17515.3	19497.4	12740599808	297375760384
105	2017-12-17	19475.8	20089.0	18974.1	19140.8	13314599936	326141280256
104	2017-12-18	19106.4	19371.0	18355.9	19114.2	14839499776	320000294912
103	2017-12-19	19118.3	19177.8	17275.4	17776.7	16894499840	320242253824
102	2017-12-20	17760.3	17934.7	16077.7	16624.6	22149699584	297526394880
101	2017-12-21	16642.4	17567.7	15342.7	15802.9	16516599808	278826811392
100	2017-12-22	15898.0	15943.4	11833.0	13831.8	22197999616	266381426688
99	2017-12-23	13948.7	15603.2	13828.8	14699.2	13086000128	233747824640
98	2017-12-24	14608.2	14626.0	12747.7	13925.8	11572299776	244823687168
97	2017-12-25	13995.9	14593.0	13448.9	14026.6	10664699904	234589569024
96	2017-12-26	14036.6	16461.2	14028.9	16099.8	13454300160	235294408704
95	2017-12-27	16163.5	16930.9	15114.3	15838.5	12487600128	270976270336
94	2017-12-28	15864.1	15888.4	13937.3	14606.5	12336499712	265988489216
93	2017-12-29	14695.8	15279.0	14307.0	14656.2	13025500160	246427598848
92	2017-12-30	14681.9	14681.9	12350.1	12952.2	14452599808	246223912960
91	2017-12-31	12897.7	14377.4	12755.6	14156.4	12136299520	216325586944
